image_filename,original_raw_path,source_manuscript,split,width,height
mscoll390_item1258_2009_0001_web.jpg,data/raw/mscoll390_item1258/2009_0001_web.jpg,mscoll390_item1258,train,1726,1800
mscoll390_item1258_2009_0000_web.jpg,data/raw/mscoll390_item1258/2009_0000_web.jpg,mscoll390_item1258,val,1800,964
mscoll390_item1258_2009_0002_web.jpg,data/raw/mscoll390_item1258/2009_0002_web.jpg,mscoll390_item1258,test,1800,964
mscoll390_item1271_2057_0013_web.jpg,data/raw/mscoll390_item1271/2057_0013_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0012_web.jpg,data/raw/mscoll390_item1271/2057_0012_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0004_web.jpg,data/raw/mscoll390_item1271/2057_0004_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0009_web.jpg,data/raw/mscoll390_item1271/2057_0009_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0005_web.jpg,data/raw/mscoll390_item1271/2057_0005_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0007_web.jpg,data/raw/mscoll390_item1271/2057_0007_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0016_web.jpg,data/raw/mscoll390_item1271/2057_0016_web.jpg,mscoll390_item1271,train,1800,846
mscoll390_item1271_2057_0006_web.jpg,data/raw/mscoll390_item1271/2057_0006_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0010_web.jpg,data/raw/mscoll390_item1271/2057_0010_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0015_web.jpg,data/raw/mscoll390_item1271/2057_0015_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0001_web.jpg,data/raw/mscoll390_item1271/2057_0001_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0011_web.jpg,data/raw/mscoll390_item1271/2057_0011_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0002_web.jpg,data/raw/mscoll390_item1271/2057_0002_web.jpg,mscoll390_item1271,train,1800,1622
mscoll390_item1271_2057_0014_web.jpg,data/raw/mscoll390_item1271/2057_0014_web.jpg,mscoll390_item1271,val,1800,1622
mscoll390_item1271_2057_0003_web.jpg,data/raw/mscoll390_item1271/2057_0003_web.jpg,mscoll390_item1271,val,1800,1622
mscoll390_item1271_2057_0008_web.jpg,data/raw/mscoll390_item1271/2057_0008_web.jpg,mscoll390_item1271,test,1800,1622
mscoll390_item1271_2057_0000_web.jpg,data/raw/mscoll390_item1271/2057_0000_web.jpg,mscoll390_item1271,test,1800,846
mscoll390_item1354_5296_0011_web.jpg,data/raw/mscoll390_item1354/5296_0011_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0014_web.jpg,data/raw/mscoll390_item1354/5296_0014_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0010_web.jpg,data/raw/mscoll390_item1354/5296_0010_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0008_web.jpg,data/raw/mscoll390_item1354/5296_0008_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0015_web.jpg,data/raw/mscoll390_item1354/5296_0015_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0001_web.jpg,data/raw/mscoll390_item1354/5296_0001_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0012_web.jpg,data/raw/mscoll390_item1354/5296_0012_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0005_web.jpg,data/raw/mscoll390_item1354/5296_0005_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0016_web.jpg,data/raw/mscoll390_item1354/5296_0016_web.jpg,mscoll390_item1354,train,1800,1081
mscoll390_item1354_5296_0002_web.jpg,data/raw/mscoll390_item1354/5296_0002_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0000_web.jpg,data/raw/mscoll390_item1354/5296_0000_web.jpg,mscoll390_item1354,train,1800,1081
mscoll390_item1354_5296_0004_web.jpg,data/raw/mscoll390_item1354/5296_0004_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0009_web.jpg,data/raw/mscoll390_item1354/5296_0009_web.jpg,mscoll390_item1354,train,1661,1800
mscoll390_item1354_5296_0007_web.jpg,data/raw/mscoll390_item1354/5296_0007_web.jpg,mscoll390_item1354,val,1661,1800
mscoll390_item1354_5296_0003_web.jpg,data/raw/mscoll390_item1354/5296_0003_web.jpg,mscoll390_item1354,val,1661,1800
mscoll390_item1354_5296_0013_web.jpg,data/raw/mscoll390_item1354/5296_0013_web.jpg,mscoll390_item1354,test,1661,1800
mscoll390_item1354_5296_0006_web.jpg,data/raw/mscoll390_item1354/5296_0006_web.jpg,mscoll390_item1354,test,1661,1800
mscoll390_item1411_2086_0004_web.jpg,data/raw/mscoll390_item1411/2086_0004_web.jpg,mscoll390_item1411,train,1800,1353
mscoll390_item1411_2086_0002_web.jpg,data/raw/mscoll390_item1411/2086_0002_web.jpg,mscoll390_item1411,train,1289,1800
mscoll390_item1411_2086_0001_web.jpg,data/raw/mscoll390_item1411/2086_0001_web.jpg,mscoll390_item1411,train,1289,1800
mscoll390_item1411_2086_0000_web.jpg,data/raw/mscoll390_item1411/2086_0000_web.jpg,mscoll390_item1411,val,1800,1353
mscoll390_item1411_2086_0003_web.jpg,data/raw/mscoll390_item1411/2086_0003_web.jpg,mscoll390_item1411,test,1289,1800
mscoll390_item15_6357_0006_web.jpg,data/raw/mscoll390_item15/6357_0006_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0001_web.jpg,data/raw/mscoll390_item15/6357_0001_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0002_web.jpg,data/raw/mscoll390_item15/6357_0002_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0005_web.jpg,data/raw/mscoll390_item15/6357_0005_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0003_web.jpg,data/raw/mscoll390_item15/6357_0003_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0008_web.jpg,data/raw/mscoll390_item15/6357_0008_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0010_web.jpg,data/raw/mscoll390_item15/6357_0010_web.jpg,mscoll390_item15,train,1800,1018
mscoll390_item15_6357_0007_web.jpg,data/raw/mscoll390_item15/6357_0007_web.jpg,mscoll390_item15,train,1644,1800
mscoll390_item15_6357_0000_web.jpg,data/raw/mscoll390_item15/6357_0000_web.jpg,mscoll390_item15,train,1800,940
mscoll390_item15_6357_0004_web.jpg,data/raw/mscoll390_item15/6357_0004_web.jpg,mscoll390_item15,val,1644,1800
mscoll390_item15_6357_0009_web.jpg,data/raw/mscoll390_item15/6357_0009_web.jpg,mscoll390_item15,test,1644,1800
mscoll390_item1557_2119_0004_web.jpg,data/raw/mscoll390_item1557/2119_0004_web.jpg,mscoll390_item1557,train,1800,1721
mscoll390_item1557_2119_0008_web.jpg,data/raw/mscoll390_item1557/2119_0008_web.jpg,mscoll390_item1557,train,1800,1721
